         Deformacion;     Fuerza
  5,097974538803e-01;  2,449815559387e+01
  5,220296978951e-01;  2,530851173401e+01
  5,345475673676e-01;  2,606978988647e+01
  5,447317957878e-01;  2,666353607178e+01
  5,568874478340e-01;  2,739230728149e+01
  5,674060583115e-01;  2,800106430054e+01
  5,774370431900e-01;  2,858971786499e+01
  5,895438790321e-01;  2,931376266479e+01
  5,998674631119e-01;  2,951348686218e+01
  6,120091080666e-01;  2,970494079590e+01
  6,220192313194e-01;  3,022431182861e+01
  6,322940587997e-01;  3,105094909668e+01
  6,447283029556e-01;  3,187189292908e+01
  6,572322249413e-01;  3,264720535278e+01
  6,672980189323e-01;  3,326990127563e+01
  6,796974539757e-01;  3,403069305420e+01
  6,922361850739e-01;  3,480912399292e+01
  7,023020386696e-01;  3,545320892334e+01
  7,144576311111e-01;  3,624217605591e+01
  7,245931029320e-01;  3,687480545044e+01
  7,346937656403e-01;  3,752242660522e+01
  7,469190359116e-01;  3,833568954468e+01
  7,573331594467e-01;  3,899980926514e+01
  7,674895524979e-01;  3,943008041382e+01
  7,795406579971e-01;  3,918019485474e+01
  7,898154854774e-01;  3,932698059082e+01
  8,021801114082e-01;  4,060645294189e+01
  8,144541382790e-01;  4,158763885498e+01
  8,247289061546e-01;  4,233203125000e+01
  8,371840715408e-01;  4,320804977417e+01
  8,497715592384e-01;  4,409114456177e+01
  8,598443865776e-01;  4,479498672485e+01
  8,722019791603e-01;  4,565813446045e+01
  8,822817802429e-01;  4,636228942871e+01
  8,946881294250e-01;  4,722455215454e+01
  9,068716168404e-01;  4,809112930298e+01
  9,170976877213e-01;  4,880393218994e+01
  9,271983504295e-01;  4,950757980347e+01
  9,393887519836e-01;  5,040040588379e+01
  9,499073624611e-01;  5,110971069336e+01
  9,599384069443e-01;  5,177512359619e+01
  9,721497297287e-01;  5,177438354492e+01
  9,823548793793e-01;  5,161221694946e+01
  9,945801496506e-01;  5,224725341797e+01
  1,007132768631e+00;  5,362464904785e+01
  1,017268300056e+00;  5,451680755615e+01
  1,029563188553e+00;  5,551182937622e+01
  1,039768338203e+00;  5,630002975464e+01
  1,049834251404e+00;  5,707213592529e+01
  1,062198758125e+00;  5,799972915649e+01
  1,074702739716e+00;  5,893655395508e+01
  1,084712862968e+00;  5,969551467896e+01
  1,096784830093e+00;  6,063425064087e+01
  1,107038736343e+00;  6,139455795288e+01
  1,117243885994e+00;  6,215983200073e+01
  1,129385590553e+00;  6,310474014282e+01
  1,139820575714e+00;  6,387946319580e+01
  1,152150392532e+00;  6,481858825684e+01
  1,164723992348e+00;  6,575128936768e+01
  1,174824595451e+00;  6,651081085205e+01
  1,187008023262e+00;  6,743787384033e+01
  1,197150468826e+00;  6,819561004639e+01
  1,209633588791e+00;  6,911603546143e+01
  1,219650626183e+00;  6,984555816650e+01
  1,229765176773e+00;  7,056945037842e+01
  1,239782214165e+00;  7,129249572754e+01
  1,249806284904e+00;  7,196151733398e+01
  1,262136101723e+00;  7,266287994385e+01
  1,272222757339e+00;  7,276150512695e+01
  1,284378409386e+00;  7,311525726318e+01
  1,294513821602e+00;  7,402716827393e+01
  1,304753899574e+00;  7,500179290771e+01
  1,312102913857e+00;  7,558289337158e+01
  1,316686511040e+00;  7,585649871826e+01
  1,322140932083e+00;  7,607907104492e+01
  1,330033302307e+00;  7,554150390625e+01
  1,332053422928e+00;  7,453559112549e+01
  1,332004666328e+00;  7,323889160156e+01
  1,321646332741e+00;  7,006839752197e+01
  1,310082793236e+00;  6,687459564209e+01
  1,298052549362e+00;  6,375674057007e+01
  1,285583496094e+00;  6,078245544434e+01
  1,273636817932e+00;  5,799949264526e+01
  1,263536214828e+00;  5,587303924561e+01
  1,251046180725e+00;  5,329028320313e+01
  1,238528370857e+00;  5,080016708374e+01
  1,228441596031e+00;  4,889425659180e+01
  1,218257427216e+00;  4,704665756226e+01
  1,205857992172e+00;  4,483965301514e+01
  1,193423748016e+00;  4,267948150635e+01
  1,183357954025e+00;  4,100734329224e+01
  1,171202301979e+00;  3,901087951660e+01
  1,160997152328e+00;  3,744400787354e+01
  1,150875568390e+00;  3,592891693115e+01
  1,138510942459e+00;  3,410523986816e+01
  1,128201365471e+00;  3,268682479858e+01
  1,115962147713e+00;  3,103017234802e+01
  1,105861544609e+00;  2,975615501404e+01
  1,098387002945e+00;  2,888877868652e+01
  1,093845248222e+00;  2,840926170349e+01
  1,089052557945e+00;  2,786302757263e+01
  1,081752300262e+00;  2,730412673950e+01
  1,079606771469e+00;  2,740484237671e+01
  1,079014658928e+00;  2,759478569031e+01
  1,079202771187e+00;  2,800527000427e+01
  1,089944243431e+00;  3,040639877319e+01
  1,101243019104e+00;  3,279904556274e+01
  1,113551974297e+00;  3,523742675781e+01
  1,125623941422e+00;  3,758791351318e+01
  1,135780334473e+00;  3,945039749146e+01
  1,145950675011e+00;  4,129352951050e+01
  1,157980918884e+00;  4,355144882202e+01
  1,168276548386e+00;  4,534983444214e+01
  1,180550575256e+00;  4,756536483765e+01
  1,192866444588e+00;  4,977712631226e+01
  1,203099489212e+00;  5,154930877686e+01
  1,215610384941e+00;  5,374797058105e+01
  1,228149056435e+00;  5,599021148682e+01
  1,240680813789e+00;  5,822968673706e+01
  1,250718832016e+00;  5,997962570190e+01
  1,263062477112e+00;  6,215015411377e+01
  1,273149251938e+00;  6,387010192871e+01
  1,285283923149e+00;  6,599239349365e+01
  1,295489072800e+00;  6,770132446289e+01
  1,305701255798e+00;  6,938084411621e+01
  1,317898631096e+00;  7,139964294434e+01
  1,328312754631e+00;  7,297835540771e+01
  1,338329792023e+00;  7,445488739014e+01
  1,350541114807e+00;  7,606502532959e+01
  1,355431318283e+00;  7,656392669678e+01
  1,360816001892e+00;  7,708326721191e+01
  1,368116259575e+00;  7,709262847900e+01
  1,370192170143e+00;  7,643092346191e+01
  1,369098544121e+00;  7,489587402344e+01
  1,358356952667e+00;  7,179420471191e+01
  1,346305847168e+00;  6,849784851074e+01
  1,334554314613e+00;  6,533625030518e+01
  1,324418783188e+00;  6,287831497192e+01
  1,314297199249e+00;  6,051654434204e+01
  1,302141547203e+00;  5,773883438110e+01
  1,292047858238e+00;  5,558057403564e+01
  1,279746055603e+00;  5,300556564331e+01
  1,267437100410e+00;  5,054128646851e+01
  1,257385253906e+00;  4,859059906006e+01
  1,247340321541e+00;  4,667586135864e+01
  1,237253546715e+00;  4,482405471802e+01
  1,227222561836e+00;  4,301040649414e+01
  1,217003583908e+00;  4,127569198608e+01
  1,204638957977e+00;  3,919103240967e+01
  1,192114114761e+00;  3,716442489624e+01
  1,179700732231e+00;  3,522569274902e+01
  1,167419791222e+00;  3,335527420044e+01
  1,157075285912e+00;  3,190357780457e+01
  1,144884824753e+00;  3,016762542725e+01
  1,134644865990e+00;  2,888851547241e+01
  1,129824399948e+00;  2,834678268433e+01
  1,124544262886e+00;  2,773793601990e+01
  1,117257833481e+00;  2,706862640381e+01
  1,115133166313e+00;  2,710928344727e+01
  1,114492297173e+00;  2,728094482422e+01
  1,114297270775e+00;  2,746383857727e+01
  1,114255547523e+00;  2,761379623413e+01
  1,119389414787e+00;  2,911326789856e+01
  1,129852294922e+00;  3,132355117798e+01
  1,142007946968e+00;  3,380910491943e+01
  1,153926730156e+00;  3,620568466187e+01
  1,166395783424e+00;  3,856359100342e+01
  1,178725481033e+00;  4,090195083618e+01
  1,190881133080e+00;  4,321435165405e+01
  1,201190829277e+00;  4,507127761841e+01
  1,213604092598e+00;  4,736925125122e+01
  1,226108074188e+00;  4,965158843994e+01
  1,238646745682e+00;  5,194774627686e+01
  1,248733520508e+00;  5,377716827393e+01
  1,261028409004e+00;  5,606042861938e+01
  1,271143078804e+00;  5,790399551392e+01
  1,283368349075e+00;  6,019342422485e+01
  1,295976758003e+00;  6,248914337158e+01
  1,306202769279e+00;  6,432725524902e+01
  1,318372368813e+00;  6,661518859863e+01
  1,328856110573e+00;  6,843946075439e+01
  1,338859200478e+00;  7,024508666992e+01
  1,351098418236e+00;  7,241798400879e+01
  1,361387133598e+00;  7,413541412354e+01
  1,373528838158e+00;  7,609591674805e+01
  1,378244757652e+00;  7,672597503662e+01
  1,383824586868e+00;  7,742757415771e+01
  1,391960859299e+00;  7,789820098877e+01
  1,393374919891e+00;  7,698472595215e+01
  1,382508039474e+00;  7,340981292725e+01
  1,370986223221e+00;  7,013970184326e+01
  1,359053611755e+00;  6,695952606201e+01
  1,348973870277e+00;  6,446383666992e+01
